zeme,datum,pocet
Srbsko,2017-08-28,4.0
Turecko (včetně Severokyperské Republiky),2017-08-28,2.0
Bělorusko,2017-08-28,4.0
Řecko,2017-08-28,3.0
Slovinsko,2017-08-28,28.0
Island,2017-08-28,12.0
Ukrajina,2017-08-28,64.0
Dánsko,2017-08-28,27.0
Litva,2017-08-28,1.0
Polsko,2017-08-28,64.0
Španělsko,2017-08-28,32.0
Belgie,2017-08-28,40.0
Peru,2017-08-28,5.0
Arménie,2017-08-28,2.0
Česká republika,2017-08-28,24.0
Nizozemsko,2017-08-28,26.0
Izrael,2017-08-28,20.0
Makedonie,2017-08-28,5.0
Singapur,2017-08-28,5.0
Taiwan,2017-08-28,10.0
Čína,2017-08-28,580.0
Saúdská Arábie,2017-08-28,15.0
Vietnam,2017-08-28,20.0
Nový Zéland,2017-08-28,16.0
Ázerbájdžán,2017-08-28,3.0
Francie,2017-08-28,84.0
Rumunsko,2017-08-28,15.0
Indonésie,2017-08-28,6.0
Korejská republika,2017-08-28,50.0
Švédsko,2017-08-28,9.0
Rakousko,2017-08-28,130.0
Alžírsko,2017-08-28,10.0
Kyrgyzstán,2017-08-28,3.0
Moldavsko,2017-08-28,1.0
Hong Kong,2017-08-28,4.0
Kuba,2017-08-28,8.0
Estonsko,2017-08-28,8.0
Tanzanie,2017-08-28,3.0
Niue,2017-08-28,2.0
Madagaskar,2017-08-28,3.0
Mauricius,2017-08-28,3.0
Německo,2017-08-29,460.0
Thajsko,2017-08-29,25.0
Kanada,2017-08-29,52.0
Portugalsko,2017-08-29,8.0
Lotyšsko,2017-08-29,15.0
Spojené státy americké,2017-08-29,232.0
Turkmenistán,2017-08-29,5.0
Japonsko,2017-08-29,45.0
Rusko,2017-08-29,375.0
Indie,2017-08-29,15.0
Irsko,2017-08-29,8.0
Mexiko,2017-08-29,16.0
Finsko,2017-08-29,36.0
Norsko,2017-08-29,10.0
Švýcarsko,2017-08-29,27.0
Jižní Afrika,2017-08-29,3.0
Maďarsko,2017-08-29,60.0
Slovensko,2017-08-29,942.0
Irán,2017-08-29,3.0
Austrálie,2017-08-29,16.0
Spojené arabské emiráty,2017-08-29,5.0
Uzbekistán,2017-08-29,2.0
Chorvatsko,2017-08-29,12.0
Kuvajt,2017-08-29,15.0
Itálie,2017-08-29,110.0
Bulharsko,2017-08-29,35.0
Kypr,2017-08-29,9.0
Velká Británie a Severní Irsko,2017-08-29,188.0
Brazílie,2017-08-29,1.0
Kazachstán,2017-08-29,2.0
Srbsko,2017-08-29,15.0
Malajsie,2017-08-29,15.0
Turecko (včetně Severokyperské Republiky),2017-08-29,28.0
Bělorusko,2017-08-29,3.0
Řecko,2017-08-29,3.0
Slovinsko,2017-08-29,21.0
Island,2017-08-29,2.0
Ukrajina,2017-08-29,30.0
Dánsko,2017-08-29,8.0
Litva,2017-08-29,12.0
Polsko,2017-08-29,39.0
Španělsko,2017-08-29,45.0
Belgie,2017-08-29,20.0
Peru,2017-08-29,2.0
Arménie,2017-08-29,2.0
Česká republika,2017-08-29,45.0
Nizozemsko,2017-08-29,55.0
Izrael,2017-08-29,6.0
Ekvádor,2017-08-29,3.0
Singapur,2017-08-29,10.0
Taiwan,2017-08-29,10.0
Čína,2017-08-29,862.0
Saúdská Arábie,2017-08-29,1.0
Malta,2017-08-29,1.0
Vietnam,2017-08-29,30.0
Nový Zéland,2017-08-29,25.0
Ázerbájdžán,2017-08-29,10.0
Francie,2017-08-29,76.0
Rumunsko,2017-08-29,30.0
Indonésie,2017-08-29,25.0
Korejská republika,2017-08-29,40.0
Švédsko,2017-08-29,24.0
Mongolsko,2017-08-29,15.0
Rakousko,2017-08-29,190.0
Bahrajn,2017-08-29,8.0
Hong Kong,2017-08-29,6.0
Gruzie,2017-08-29,8.0
Chile,2017-08-29,5.0
Kuba,2017-08-29,5.0
Estonsko,2017-08-29,15.0
Niue,2017-08-29,3.0
Tunisko,2017-08-29,3.0
Katar,2017-08-29,6.0
Kostarika,2017-08-29,6.0
Belize,2017-08-29,4.0
Německo,2017-08-30,595.0
Thajsko,2017-08-30,14.0
Kanada,2017-08-30,20.0
Portugalsko,2017-08-30,5.0
Lotyšsko,2017-08-30,5.0
Spojené státy americké,2017-08-30,435.0
Japonsko,2017-08-30,13.0
Rusko,2017-08-30,244.0
Indie,2017-08-30,3.0
Irsko,2017-08-30,20.0
Mexiko,2017-08-30,36.0
Finsko,2017-08-30,12.0
Norsko,2017-08-30,18.0
Bosna a Hercegovina,2017-08-30,12.0
Švýcarsko,2017-08-30,42.0
Jižní Afrika,2017-08-30,4.0
Maďarsko,2017-08-30,14.0
Slovensko,2017-08-30,812.0
Irán,2017-08-30,3.0
Albánie,2017-08-30,4.0
Austrálie,2017-08-30,36.0
Chorvatsko,2017-08-30,4.0
Itálie,2017-08-30,165.0
Bulharsko,2017-08-30,20.0
Kypr,2017-08-30,12.0
Velká Británie a Severní Irsko,2017-08-30,136.0
Kolumbie,2017-08-30,4.0
Brazílie,2017-08-30,16.0
Kazachstán,2017-08-30,5.0
Srbsko,2017-08-30,2.0
Malajsie,2017-08-30,2.0
Turecko (včetně Severokyperské Republiky),2017-08-30,4.0
Bělorusko,2017-08-30,12.0
Řecko,2017-08-30,18.0
Slovinsko,2017-08-30,8.0
Island,2017-08-30,10.0
Ukrajina,2017-08-30,14.0
Dánsko,2017-08-30,15.0
Filipíny,2017-08-30,16.0
Litva,2017-08-30,6.0
Polsko,2017-08-30,185.0
Španělsko,2017-08-30,45.0
Belgie,2017-08-30,22.0
Pákistán,2017-08-30,4.0
Česká republika,2017-08-30,33.0
Nizozemsko,2017-08-30,36.0
Izrael,2017-08-30,20.0
Taiwan,2017-08-30,25.0
Čína,2017-08-30,3280.0
Saúdská Arábie,2017-08-30,4.0
Vietnam,2017-08-30,12.0
Nový Zéland,2017-08-30,15.0
Ázerbájdžán,2017-08-30,12.0
Francie,2017-08-30,18.0
Rumunsko,2017-08-30,30.0
Indonésie,2017-08-30,12.0
Korejská republika,2017-08-30,32.0
Švédsko,2017-08-30,39.0
Maroko,2017-08-30,4.0
Rakousko,2017-08-30,130.0
Alžírsko,2017-08-30,4.0
Moldavsko,2017-08-30,4.0
Nigérie,2017-08-30,5.0
Hong Kong,2017-08-30,3.0
Chile,2017-08-30,10.0
Estonsko,2017-08-30,2.0
Tádžikistán,2017-08-30,3.0
Faerské ostrovy,2017-08-30,5.0
Tunisko,2017-08-30,6.0
Korejská lid. dem. republika,2017-08-30,5.0
Mali,2017-08-30,1.0
Německo,2017-08-31,576.0
Thajsko,2017-08-31,20.0
Kanada,2017-08-31,28.0
Portugalsko,2017-08-31,3.0
Spojené státy americké,2017-08-31,104.0
Japonsko,2017-08-31,10.0
Rusko,2017-08-31,390.0
Indie,2017-08-31,6.0
Irsko,2017-08-31,6.0
Mexiko,2017-08-31,1.0
Finsko,2017-08-31,25.0
Norsko,2017-08-31,30.0
Bosna a Hercegovina,2017-08-31,2.0
Švýcarsko,2017-08-31,51.0
Jižní Afrika,2017-08-31,5.0
Maďarsko,2017-08-31,32.0
Slovensko,2017-08-31,1422.0
Austrálie,2017-08-31,57.0
Spojené arabské emiráty,2017-08-31,9.0
Chorvatsko,2017-08-31,32.0
Itálie,2017-08-31,40.0
Bulharsko,2017-08-31,8.0
Kypr,2017-08-31,8.0
Velká Británie a Severní Irsko,2017-08-31,156.0
Brazílie,2017-08-31,6.0
Kazachstán,2017-08-31,12.0
Srbsko,2017-08-31,3.0
Turecko (včetně Severokyperské Republiky),2017-08-31,25.0
Bělorusko,2017-08-31,28.0
Řecko,2017-08-31,7.0
Slovinsko,2017-08-31,10.0
Island,2017-08-31,20.0
Ukrajina,2017-08-31,36.0
Dánsko,2017-08-31,12.0
Filipíny,2017-08-31,5.0
Polsko,2017-08-31,180.0
Španělsko,2017-08-31,8.0
Belgie,2017-08-31,27.0
Peru,2017-08-31,2.0
Česká republika,2017-08-31,15.0
Nizozemsko,2017-08-31,36.0
Izrael,2017-08-31,35.0
Makedonie,2017-08-31,1.0
Singapur,2017-08-31,4.0
Taiwan,2017-08-31,12.0
Čína,2017-08-31,2160.0
Malta,2017-08-31,2.0
Vietnam,2017-08-31,9.0
Nový Zéland,2017-08-31,6.0
Ázerbájdžán,2017-08-31,6.0
Francie,2017-08-31,42.0
Rumunsko,2017-08-31,6.0
Indonésie,2017-08-31,12.0
Korejská republika,2017-08-31,45.0
Švédsko,2017-08-31,44.0
Mongolsko,2017-08-31,3.0
Maroko,2017-08-31,5.0
Rakousko,2017-08-31,93.0
Keňa,2017-08-31,5.0
Nigérie,2017-08-31,8.0
Ghana,2017-08-31,2.0
Hong Kong,2017-08-31,2.0
Chile,2017-08-31,4.0
Estonsko,2017-08-31,14.0
Niue,2017-08-31,8.0
Francouzská Polynésie,2017-08-31,5.0
Sýrie,2017-08-31,15.0
Rwanda,2017-08-31,1.0
Německo,2017-09-01,480.0
Thajsko,2017-09-01,15.0
Kanada,2017-09-01,15.0
Portugalsko,2017-09-01,5.0
Lotyšsko,2017-09-01,6.0
Spojené státy americké,2017-09-01,112.0
Japonsko,2017-09-01,20.0
Rusko,2017-09-01,196.0
Irsko,2017-09-01,20.0
Mexiko,2017-09-01,3.0
Finsko,2017-09-01,4.0
Norsko,2017-09-01,24.0
Švýcarsko,2017-09-01,84.0
Maďarsko,2017-09-01,40.0
Slovensko,2017-09-01,1810.0
Irán,2017-09-01,1.0
Austrálie,2017-09-01,26.0
Spojené arabské emiráty,2017-09-01,12.0
Uzbekistán,2017-09-01,18.0
Chorvatsko,2017-09-01,20.0
Itálie,2017-09-01,27.0
Bulharsko,2017-09-01,6.0
Lucembursko,2017-09-01,5.0
Velká Británie a Severní Irsko,2017-09-01,70.0
Brazílie,2017-09-01,24.0
Kazachstán,2017-09-01,16.0
Uganda,2017-09-01,3.0
Srbsko,2017-09-01,8.0
Bělorusko,2017-09-01,44.0
Etiopie,2017-09-01,3.0
Řecko,2017-09-01,9.0
Island,2017-09-01,2.0
Ukrajina,2017-09-01,15.0
Dánsko,2017-09-01,5.0
Litva,2017-09-01,4.0
Polsko,2017-09-01,35.0
Španělsko,2017-09-01,21.0
Belgie,2017-09-01,6.0
Peru,2017-09-01,3.0
Arménie,2017-09-01,3.0
Česká republika,2017-09-01,35.0
Nizozemsko,2017-09-01,51.0
Izrael,2017-09-01,32.0
Taiwan,2017-09-01,8.0
Čína,2017-09-01,1134.0
Saúdská Arábie,2017-09-01,10.0
Malta,2017-09-01,3.0
Vietnam,2017-09-01,15.0
Nový Zéland,2017-09-01,5.0
Ázerbájdžán,2017-09-01,3.0
Francie,2017-09-01,84.0
Rumunsko,2017-09-01,15.0
Korejská republika,2017-09-01,36.0
Švédsko,2017-09-01,6.0
Mongolsko,2017-09-01,4.0
Rakousko,2017-09-01,155.0
Hong Kong,2017-09-01,8.0
Kuba,2017-09-01,21.0
Egypt,2017-09-01,5.0
Tádžikistán,2017-09-01,3.0
Jordánsko,2017-09-01,1.0
Korejská lid. dem. republika,2017-09-01,1.0
Mauricius,2017-09-01,4.0
Kambodža,2017-09-01,3.0
Dominikánská republika,2017-09-01,6.0
Německo,2017-09-02,10.0
Thajsko,2017-09-02,1.0
Kanada,2017-09-02,3.0
Spojené státy americké,2017-09-02,54.0
Japonsko,2017-09-02,6.0
Rusko,2017-09-02,6.0
Švýcarsko,2017-09-02,12.0
Slovensko,2017-09-02,35.0
Austrálie,2017-09-02,4.0
Uzbekistán,2017-09-02,1.0
Itálie,2017-09-02,18.0
Velká Británie a Severní Irsko,2017-09-02,3.0
Bělorusko,2017-09-02,10.0
Řecko,2017-09-02,6.0
Ukrajina,2017-09-02,2.0
Dánsko,2017-09-02,3.0
Polsko,2017-09-02,9.0
Belgie,2017-09-02,3.0
Nizozemsko,2017-09-02,4.0
Izrael,2017-09-02,2.0
Čína,2017-09-02,22.0
Vietnam,2017-09-02,10.0
Nový Zéland,2017-09-02,2.0
Rumunsko,2017-09-02,2.0
Korejská republika,2017-09-02,2.0
Švédsko,2017-09-02,4.0
Rakousko,2017-09-02,1.0
Keňa,2017-09-02,3.0
Estonsko,2017-09-02,4.0
Zambie,2017-09-02,3.0
Barbados,2017-09-02,1.0
Německo,2017-09-03,14.0
Thajsko,2017-09-03,8.0
Spojené státy americké,2017-09-03,21.0
Rusko,2017-09-03,27.0
Slovensko,2017-09-03,30.0
Austrálie,2017-09-03,8.0
Chorvatsko,2017-09-03,2.0
Itálie,2017-09-03,5.0
Velká Británie a Severní Irsko,2017-09-03,32.0
Kazachstán,2017-09-03,2.0
Ukrajina,2017-09-03,1.0
Polsko,2017-09-03,12.0
Česká republika,2017-09-03,5.0
Izrael,2017-09-03,4.0
Čína,2017-09-03,24.0
Vietnam,2017-09-03,3.0
Korejská republika,2017-09-03,6.0
Rakousko,2017-09-03,3.0
Německo,2017-09-04,226.0
Thajsko,2017-09-04,11.0
Kanada,2017-09-04,48.0
Portugalsko,2017-09-04,1.0
Spojené státy americké,2017-09-04,327.0
Japonsko,2017-09-04,8.0
Rusko,2017-09-04,166.0
Indie,2017-09-04,24.0
Irsko,2017-09-04,25.0
Finsko,2017-09-04,6.0
Norsko,2017-09-04,7.0
Bosna a Hercegovina,2017-09-04,3.0
Švýcarsko,2017-09-04,40.0
Jižní Afrika,2017-09-04,2.0
Maďarsko,2017-09-04,33.0
Slovensko,2017-09-04,2730.0
Austrálie,2017-09-04,38.0
Spojené arabské emiráty,2017-09-04,12.0
Uzbekistán,2017-09-04,9.0
Chorvatsko,2017-09-04,16.0
Itálie,2017-09-04,100.0
Bulharsko,2017-09-04,3.0
Lucembursko,2017-09-04,6.0
Velká Británie a Severní Irsko,2017-09-04,260.0
Brazílie,2017-09-04,3.0
Kazachstán,2017-09-04,22.0
Srbsko,2017-09-04,15.0
Malajsie,2017-09-04,8.0
Turecko (včetně Severokyperské Republiky),2017-09-04,8.0
Lichtenštejnsko,2017-09-04,1.0
Bělorusko,2017-09-04,2.0
Etiopie,2017-09-04,6.0
Řecko,2017-09-04,21.0
Slovinsko,2017-09-04,12.0
Island,2017-09-04,20.0
Ukrajina,2017-09-04,90.0
Dánsko,2017-09-04,15.0
Filipíny,2017-09-04,2.0
Litva,2017-09-04,1.0
Polsko,2017-09-04,47.0
Španělsko,2017-09-04,22.0
Belgie,2017-09-04,39.0
Česká republika,2017-09-04,8.0
Nizozemsko,2017-09-04,75.0
Izrael,2017-09-04,10.0
Singapur,2017-09-04,4.0
Taiwan,2017-09-04,5.0
Čína,2017-09-04,4340.0
Saúdská Arábie,2017-09-04,3.0
Malta,2017-09-04,1.0
Vietnam,2017-09-04,42.0
Nový Zéland,2017-09-04,20.0
Francie,2017-09-04,36.0
Rumunsko,2017-09-04,12.0
Indonésie,2017-09-04,3.0
Korejská republika,2017-09-04,24.0
Švédsko,2017-09-04,7.0
Argentina,2017-09-04,1.0
Rakousko,2017-09-04,96.0
Alžírsko,2017-09-04,2.0
Keňa,2017-09-04,3.0
Ghana,2017-09-04,4.0
Libanon,2017-09-04,5.0
Chile,2017-09-04,5.0
Kuba,2017-09-04,2.0
Estonsko,2017-09-04,8.0
Tanzanie,2017-09-04,10.0
Tunisko,2017-09-04,2.0
Německo,2017-09-05,670.0
Thajsko,2017-09-05,6.0
Kanada,2017-09-05,72.0
Portugalsko,2017-09-05,20.0
Lotyšsko,2017-09-05,2.0
Spojené státy americké,2017-09-05,480.0
Japonsko,2017-09-05,12.0
Rusko,2017-09-05,352.0
Indie,2017-09-05,15.0
Irsko,2017-09-05,20.0
Mexiko,2017-09-05,1.0
Finsko,2017-09-05,12.0
Norsko,2017-09-05,5.0
Švýcarsko,2017-09-05,66.0
Jižní Afrika,2017-09-05,2.0
Maďarsko,2017-09-05,60.0
Slovensko,2017-09-05,568.0
Irán,2017-09-05,3.0
Albánie,2017-09-05,2.0
Austrálie,2017-09-05,42.0
Spojené arabské emiráty,2017-09-05,5.0
Chorvatsko,2017-09-05,2.0
Itálie,2017-09-05,50.0
Bulharsko,2017-09-05,8.0
Kypr,2017-09-05,4.0
Lucembursko,2017-09-05,10.0
Velká Británie a Severní Irsko,2017-09-05,31.0
Kolumbie,2017-09-05,1.0
Brazílie,2017-09-05,20.0
Kazachstán,2017-09-05,16.0
Srbsko,2017-09-05,3.0
Turecko (včetně Severokyperské Republiky),2017-09-05,6.0
Bělorusko,2017-09-05,30.0
Etiopie,2017-09-05,10.0
Řecko,2017-09-05,10.0
Slovinsko,2017-09-05,2.0
Ukrajina,2017-09-05,20.0
Dánsko,2017-09-05,40.0
Filipíny,2017-09-05,5.0
Litva,2017-09-05,8.0
Polsko,2017-09-05,94.0
Španělsko,2017-09-05,16.0
Belgie,2017-09-05,3.0
Česká republika,2017-09-05,21.0
Nizozemsko,2017-09-05,72.0
Izrael,2017-09-05,7.0
Makedonie,2017-09-05,1.0
Ekvádor,2017-09-05,5.0
Taiwan,2017-09-05,16.0
Čína,2017-09-05,1608.0
Malta,2017-09-05,3.0
Vietnam,2017-09-05,20.0
Nový Zéland,2017-09-05,2.0
Ázerbájdžán,2017-09-05,1.0
Francie,2017-09-05,28.0
Rumunsko,2017-09-05,25.0
Indonésie,2017-09-05,5.0
Korejská republika,2017-09-05,24.0
Švédsko,2017-09-05,10.0
Mongolsko,2017-09-05,2.0
Maroko,2017-09-05,4.0
Argentina,2017-09-05,28.0
Rakousko,2017-09-05,25.0
Alžírsko,2017-09-05,3.0
Moldavsko,2017-09-05,8.0
Keňa,2017-09-05,1.0
Hong Kong,2017-09-05,20.0
Bangladéš,2017-09-05,10.0
Chile,2017-09-05,8.0
Kuba,2017-09-05,30.0
Estonsko,2017-09-05,20.0
Niue,2017-09-05,12.0
Faerské ostrovy,2017-09-05,1.0
Zambie,2017-09-05,5.0
Tunisko,2017-09-05,15.0
Dominikánská republika,2017-09-05,3.0
Německo,2017-09-06,333.0
Thajsko,2017-09-06,6.0
Kanada,2017-09-06,51.0
Portugalsko,2017-09-06,2.0
Lotyšsko,2017-09-06,4.0
Spojené státy americké,2017-09-06,352.0
Japonsko,2017-09-06,21.0
Rusko,2017-09-06,450.0
Indie,2017-09-06,15.0
Irsko,2017-09-06,12.0
Mexiko,2017-09-06,12.0
Finsko,2017-09-06,24.0
Norsko,2017-09-06,27.0
Bosna a Hercegovina,2017-09-06,3.0
Švýcarsko,2017-09-06,110.0
Jižní Afrika,2017-09-06,3.0
Maďarsko,2017-09-06,60.0
Slovensko,2017-09-06,1060.0
Albánie,2017-09-06,3.0
Austrálie,2017-09-06,39.0
Spojené arabské emiráty,2017-09-06,12.0
Chorvatsko,2017-09-06,25.0
Kuvajt,2017-09-06,6.0
Itálie,2017-09-06,56.0
Bulharsko,2017-09-06,20.0
Kypr,2017-09-06,10.0
Lucembursko,2017-09-06,1.0
Velká Británie a Severní Irsko,2017-09-06,76.0
Brazílie,2017-09-06,16.0
Kazachstán,2017-09-06,16.0
Srbsko,2017-09-06,5.0
Turecko (včetně Severokyperské Republiky),2017-09-06,4.0
Bělorusko,2017-09-06,18.0
Etiopie,2017-09-06,2.0
Slovinsko,2017-09-06,8.0
Island,2017-09-06,8.0
Ukrajina,2017-09-06,24.0
Dánsko,2017-09-06,35.0
Filipíny,2017-09-06,5.0
Litva,2017-09-06,15.0
Polsko,2017-09-06,114.0
Španělsko,2017-09-06,50.0
Belgie,2017-09-06,24.0
Arménie,2017-09-06,4.0
Česká republika,2017-09-06,25.0
Nizozemsko,2017-09-06,30.0
Izrael,2017-09-06,10.0
Makedonie,2017-09-06,3.0
Ekvádor,2017-09-06,1.0
Singapur,2017-09-06,3.0
Taiwan,2017-09-06,5.0
Čína,2017-09-06,1959.0
Saúdská Arábie,2017-09-06,1.0
Vietnam,2017-09-06,55.0
Nový Zéland,2017-09-06,16.0
Francie,2017-09-06,60.0
Rumunsko,2017-09-06,8.0
Indonésie,2017-09-06,2.0
Korejská republika,2017-09-06,24.0
Švédsko,2017-09-06,28.0
Maroko,2017-09-06,5.0
Rakousko,2017-09-06,50.0
Moldavsko,2017-09-06,12.0
Hong Kong,2017-09-06,25.0
Chile,2017-09-06,6.0
Kuba,2017-09-06,5.0
Estonsko,2017-09-06,10.0
Egypt,2017-09-06,3.0
Tunisko,2017-09-06,3.0
Malawi,2017-09-06,5.0
Německo,2017-09-07,94.0
Thajsko,2017-09-07,25.0
Kanada,2017-09-07,48.0
Lotyšsko,2017-09-07,4.0
Spojené státy americké,2017-09-07,303.0
Japonsko,2017-09-07,12.0
Rusko,2017-09-07,336.0
Indie,2017-09-07,4.0
Irsko,2017-09-07,28.0
Norsko,2017-09-07,35.0
Bosna a Hercegovina,2017-09-07,6.0
Švýcarsko,2017-09-07,46.0
Maďarsko,2017-09-07,12.0
Slovensko,2017-09-07,446.0
Austrálie,2017-09-07,21.0
Spojené arabské emiráty,2017-09-07,10.0
Chorvatsko,2017-09-07,25.0
Itálie,2017-09-07,24.0
Bulharsko,2017-09-07,7.0
Velká Británie a Severní Irsko,2017-09-07,31.0
Kolumbie,2017-09-07,6.0
Brazílie,2017-09-07,12.0
Kazachstán,2017-09-07,4.0
Srbsko,2017-09-07,2.0
Turecko (včetně Severokyperské Republiky),2017-09-07,6.0
Bolívie,2017-09-07,3.0
Lichtenštejnsko,2017-09-07,1.0
Bělorusko,2017-09-07,9.0
Řecko,2017-09-07,12.0
Slovinsko,2017-09-07,14.0
Ukrajina,2017-09-07,26.0
Dánsko,2017-09-07,15.0
Litva,2017-09-07,32.0
Polsko,2017-09-07,43.0
Španělsko,2017-09-07,40.0
Belgie,2017-09-07,8.0
Arménie,2017-09-07,2.0
Česká republika,2017-09-07,10.0
Nizozemsko,2017-09-07,52.0
Izrael,2017-09-07,9.0
Singapur,2017-09-07,1.0
Taiwan,2017-09-07,2.0
Čína,2017-09-07,1290.0
Saúdská Arábie,2017-09-07,10.0
Vietnam,2017-09-07,3.0
Nový Zéland,2017-09-07,15.0
Ázerbájdžán,2017-09-07,4.0
Francie,2017-09-07,64.0
Rumunsko,2017-09-07,15.0
Indonésie,2017-09-07,1.0
Korejská republika,2017-09-07,40.0
Švédsko,2017-09-07,40.0
Rakousko,2017-09-07,57.0
Kyrgyzstán,2017-09-07,3.0
Moldavsko,2017-09-07,3.0
Hong Kong,2017-09-07,20.0
Gruzie,2017-09-07,2.0
Estonsko,2017-09-07,12.0
Nová Kaledonie,2017-09-07,4.0
Srí Lanka,2017-09-07,4.0
Niue,2017-09-07,1.0
Réunion,2017-09-07,1.0
Německo,2017-09-08,333.0
Thajsko,2017-09-08,36.0
Kanada,2017-09-08,69.0
Portugalsko,2017-09-08,1.0
Lotyšsko,2017-09-08,6.0
Spojené státy americké,2017-09-08,102.0
Japonsko,2017-09-08,48.0
Rusko,2017-09-08,81.0
Irsko,2017-09-08,6.0
Mexiko,2017-09-08,32.0
Finsko,2017-09-08,14.0
Norsko,2017-09-08,20.0
Švýcarsko,2017-09-08,44.0
Jižní Afrika,2017-09-08,6.0
Maďarsko,2017-09-08,30.0
Slovensko,2017-09-08,2450.0
Irán,2017-09-08,16.0
Austrálie,2017-09-08,96.0
Spojené arabské emiráty,2017-09-08,2.0
Uzbekistán,2017-09-08,50.0
Chorvatsko,2017-09-08,15.0
Kuvajt,2017-09-08,4.0
Itálie,2017-09-08,63.0
Bulharsko,2017-09-08,15.0
Kypr,2017-09-08,2.0
Lucembursko,2017-09-08,4.0
Velká Británie a Severní Irsko,2017-09-08,192.0
Brazílie,2017-09-08,6.0
Kazachstán,2017-09-08,16.0
Srbsko,2017-09-08,3.0
Malajsie,2017-09-08,8.0
Turecko (včetně Severokyperské Republiky),2017-09-08,2.0
Bělorusko,2017-09-08,9.0
Řecko,2017-09-08,12.0
Slovinsko,2017-09-08,24.0
Island,2017-09-08,4.0
Ukrajina,2017-09-08,12.0
Dánsko,2017-09-08,8.0
Litva,2017-09-08,2.0
Polsko,2017-09-08,275.0
Španělsko,2017-09-08,7.0
Černá Hora,2017-09-08,4.0
Belgie,2017-09-08,24.0
Arménie,2017-09-08,4.0
Česká republika,2017-09-08,2.0
Nizozemsko,2017-09-08,11.0
Izrael,2017-09-08,30.0
Singapur,2017-09-08,8.0
Taiwan,2017-09-08,20.0
Čína,2017-09-08,1480.0
Saúdská Arábie,2017-09-08,4.0
Malta,2017-09-08,1.0
Vietnam,2017-09-08,20.0
Nový Zéland,2017-09-08,30.0
Francie,2017-09-08,92.0
Rumunsko,2017-09-08,16.0
Indonésie,2017-09-08,4.0
Korejská republika,2017-09-08,16.0
Švédsko,2017-09-08,14.0
Argentina,2017-09-08,4.0
Rakousko,2017-09-08,21.0
Nigérie,2017-09-08,5.0
Hong Kong,2017-09-08,2.0
Chile,2017-09-08,1.0
Estonsko,2017-09-08,2.0
Réunion,2017-09-08,5.0
Tunisko,2017-09-08,3.0
Katar,2017-09-08,12.0
Německo,2017-09-09,14.0
Thajsko,2017-09-09,12.0
Kanada,2017-09-09,25.0
Portugalsko,2017-09-09,2.0
Spojené státy americké,2017-09-09,29.0
Japonsko,2017-09-09,9.0
Rusko,2017-09-09,70.0
Finsko,2017-09-09,4.0
Norsko,2017-09-09,10.0
Švýcarsko,2017-09-09,1.0
Maďarsko,2017-09-09,5.0
Slovensko,2017-09-09,35.0
Albánie,2017-09-09,2.0
Austrálie,2017-09-09,8.0
Chorvatsko,2017-09-09,4.0
Itálie,2017-09-09,8.0
Velká Británie a Severní Irsko,2017-09-09,9.0
Řecko,2017-09-09,3.0
Slovinsko,2017-09-09,6.0
Ukrajina,2017-09-09,9.0
Filipíny,2017-09-09,2.0
Litva,2017-09-09,2.0
Polsko,2017-09-09,20.0
Španělsko,2017-09-09,10.0
Belgie,2017-09-09,5.0
Česká republika,2017-09-09,384.0
Nizozemsko,2017-09-09,3.0
Izrael,2017-09-09,9.0
Taiwan,2017-09-09,3.0
Čína,2017-09-09,60.0
Vietnam,2017-09-09,4.0
Francie,2017-09-09,2.0
Rumunsko,2017-09-09,5.0
Indonésie,2017-09-09,3.0
Korejská republika,2017-09-09,3.0
Švédsko,2017-09-09,2.0
Rakousko,2017-09-09,4.0
Estonsko,2017-09-09,12.0
Srí Lanka,2017-09-09,5.0
Tunisko,2017-09-09,1.0
Japonsko,2017-09-10,2.0
Švýcarsko,2017-09-10,2.0
Česká republika,2017-09-10,20.0
Nizozemsko,2017-09-10,4.0
Čína,2017-09-10,2.0
Německo,2017-09-11,381.0
Thajsko,2017-09-11,10.0
Kanada,2017-09-11,72.0
Portugalsko,2017-09-11,3.0
Spojené státy americké,2017-09-11,584.0
Turkmenistán,2017-09-11,1.0
Japonsko,2017-09-11,13.0
Rusko,2017-09-11,62.0
Indie,2017-09-11,2.0
Irsko,2017-09-11,5.0
Mexiko,2017-09-11,5.0
Finsko,2017-09-11,5.0
Norsko,2017-09-11,20.0
Bosna a Hercegovina,2017-09-11,5.0
Švýcarsko,2017-09-11,50.0
Jižní Afrika,2017-09-11,5.0
Maďarsko,2017-09-11,6.0
Slovensko,2017-09-11,602.0
Irán,2017-09-11,12.0
Austrálie,2017-09-11,27.0
Spojené arabské emiráty,2017-09-11,25.0
Chorvatsko,2017-09-11,15.0
Itálie,2017-09-11,93.0
Bulharsko,2017-09-11,16.0
Lucembursko,2017-09-11,3.0
Velká Británie a Severní Irsko,2017-09-11,230.0
Kolumbie,2017-09-11,1.0
Brazílie,2017-09-11,22.0
Kazachstán,2017-09-11,8.0
Srbsko,2017-09-11,2.0
Malajsie,2017-09-11,6.0
Turecko (včetně Severokyperské Republiky),2017-09-11,15.0
Bělorusko,2017-09-11,8.0
Etiopie,2017-09-11,5.0
Řecko,2017-09-11,8.0
Slovinsko,2017-09-11,5.0
Island,2017-09-11,10.0
Ukrajina,2017-09-11,76.0
Dánsko,2017-09-11,22.0
