,variable,value
Austrálie,2019-03-16,1.577
Itálie,2019-03-16,2.3555
Bulharsko,2019-03-16,5.12
Turecko (včetně Severokyperské Republiky),2019-03-16,0.039
Řecko,2019-03-16,0.002
Ukrajina,2019-03-16,3.121
Polsko,2019-03-16,1.616666666666
Španělsko,2019-03-16,6.951
Černá Hora,2019-03-16,2.172
Belgie,2019-03-16,4.317
Česká republika,2019-03-16,7.07
Nizozemsko,2019-03-16,1.7295
Taiwan,2019-03-16,7.915
Čína,2019-03-16,6.85275
Nový Zéland,2019-03-16,3.128
Francie,2019-03-16,3.0436
Korejská republika,2019-03-16,5.475
Švédsko,2019-03-16,2.266
Rakousko,2019-03-16,1.735
Kyrgyzstán,2019-03-16,1.421
Hong Kong,2019-03-16,6.64
Kuba,2019-03-16,1.0
Estonsko,2019-03-16,2.8
Niue,2019-03-16,4.36
Německo,2019-03-17,5.85
Thajsko,2019-03-17,9.225
Kanada,2019-03-17,4.2125
Spojené státy americké,2019-03-17,1.82375
Japonsko,2019-03-17,1.064
Rusko,2019-03-17,9.176666666666
Finsko,2019-03-17,5.205
Slovensko,2019-03-17,5.3145
Austrálie,2019-03-17,1.51
Chorvatsko,2019-03-17,3.2475
Velká Británie a Severní Irsko,2019-03-17,0.045
Kolumbie,2019-03-17,3.78
Brazílie,2019-03-17,0.6635
Island,2019-03-17,7.36
Peru,2019-03-17,4.915
Izrael,2019-03-17,13.04
Taiwan,2019-03-17,8.9
Čína,2019-03-17,12.908333333333
Francie,2019-03-17,2.32775
Rakousko,2019-03-17,7.29
Curaçao,2019-03-17,6.61
Německo,2019-03-18,2.369305084745
Thajsko,2019-03-18,7.127333333333
Kanada,2019-03-18,4.472571428571
Portugalsko,2019-03-18,3.0928
Spojené státy americké,2019-03-18,3.522204225352
Japonsko,2019-03-18,5.126714285714
Rusko,2019-03-18,5.485711864406
Indie,2019-03-18,3.64
Irsko,2019-03-18,4.10425
Mexiko,2019-03-18,0.885
Finsko,2019-03-18,2.251166666666
Norsko,2019-03-18,1.877833333333
Švýcarsko,2019-03-18,2.879952380952
Maďarsko,2019-03-18,4.0714
Slovensko,2019-03-18,3.003288683602
Irán,2019-03-18,4.17
Austrálie,2019-03-18,2.2435
Spojené arabské emiráty,2019-03-18,0.708
Uzbekistán,2019-03-18,0.03
Chorvatsko,2019-03-18,3.55075
Itálie,2019-03-18,6.196785714285
Bulharsko,2019-03-18,4.888333333333
Kypr,2019-03-18,6.6425
Velká Británie a Severní Irsko,2019-03-18,2.563041666666
Brazílie,2019-03-18,1.383
Kazachstán,2019-03-18,1.225285714285
Srbsko,2019-03-18,1.6935
Turecko (včetně Severokyperské Republiky),2019-03-18,1.3088
Bělorusko,2019-03-18,1.8245
Řecko,2019-03-18,9.24
Slovinsko,2019-03-18,4.5472
Island,2019-03-18,6.905
Ukrajina,2019-03-18,2.969333333333
Dánsko,2019-03-18,3.736714285714
Litva,2019-03-18,0.773
Polsko,2019-03-18,3.352415094339
Španělsko,2019-03-18,2.129363636363
Belgie,2019-03-18,1.81175
Peru,2019-03-18,1.905
Arménie,2019-03-18,3.43
Česká republika,2019-03-18,3.777875
Nizozemsko,2019-03-18,4.608545454545
Izrael,2019-03-18,0.4485
Makedonie,2019-03-18,9.35
Ekvádor,2019-03-18,3.995
Bosna a Hercegovina,2019-03-18,5.33
Čína,2019-03-18,4.9525
Saúdská Arábie,2019-03-18,3.802
Malta,2019-03-18,0.206
Vietnam,2019-03-18,8.659454545454
Nový Zéland,2019-03-18,16.5
Ázerbájdžán,2019-03-18,0.875333333333
Francie,2019-03-18,3.721535714285
Rumunsko,2019-03-18,4.194666666666
Indonésie,2019-03-18,3.0
Korejská republika,2019-03-18,5.191
Švédsko,2019-03-18,5.402
Argentina,2019-03-18,3.985
Rakousko,2019-03-18,2.83609090909
Kyrgyzstán,2019-03-18,2.606
Grónsko,2019-03-18,2.77
Moldavsko,2019-03-18,5.75
Nigérie,2019-03-18,0.843666666666
Ghana,2019-03-18,0.027
Bahrajn,2019-03-18,4.5
Hong Kong,2019-03-18,4.3378
Gruzie,2019-03-18,2.0
Chile,2019-03-18,1.191
Estonsko,2019-03-18,1.379
Libanon,2019-03-18,3.525
Německo,2019-03-19,3.522825396825
Thajsko,2019-03-19,9.397
Kanada,2019-03-19,4.93868
Portugalsko,2019-03-19,2.49375
Lotyšsko,2019-03-19,4.314
Spojené státy americké,2019-03-19,3.766735294117
Turkmenistán,2019-03-19,3.354
Japonsko,2019-03-19,5.657944444444
Rusko,2019-03-19,5.444723880597
Indie,2019-03-19,4.949166666666
Irsko,2019-03-19,3.709571428571
Mexiko,2019-03-19,3.043333333333
Finsko,2019-03-19,2.204666666666
Norsko,2019-03-19,3.535714285714
Albánie,2019-03-19,1.865
Švýcarsko,2019-03-19,5.28323076923
Jižní Afrika,2019-03-19,3.841666666666
Maďarsko,2019-03-19,3.633142857142
Slovensko,2019-03-19,4.121657068062
Irán,2019-03-19,0.054
Austrálie,2019-03-19,6.724
Spojené arabské emiráty,2019-03-19,8.35
Uzbekistán,2019-03-19,4.885
Chorvatsko,2019-03-19,5.0618
Kuvajt,2019-03-19,13.14
Itálie,2019-03-19,3.032
Bulharsko,2019-03-19,3.434428571428
Kypr,2019-03-19,8.3775
Lucembursko,2019-03-19,0.355
Velká Británie a Severní Irsko,2019-03-19,2.99175
Brazílie,2019-03-19,4.238
Kazachstán,2019-03-19,0.508333333333
Srbsko,2019-03-19,2.402333333333
Malajsie,2019-03-19,3.686
Turecko (včetně Severokyperské Republiky),2019-03-19,5.555
Bělorusko,2019-03-19,0.517333333333
Řecko,2019-03-19,2.296
Slovinsko,2019-03-19,3.996666666666
Island,2019-03-19,1.435
Ukrajina,2019-03-19,3.640235294117
Dánsko,2019-03-19,4.6318
Polsko,2019-03-19,3.010948717948
Španělsko,2019-03-19,3.693153846153
Belgie,2019-03-19,3.136545454545
Pákistán,2019-03-19,0.091
Arménie,2019-03-19,13.63
Česká republika,2019-03-19,6.5975
Nizozemsko,2019-03-19,4.079764705882
Izrael,2019-03-19,5.905555555555
Taiwan,2019-03-19,3.7778
Čína,2019-03-19,6.704846153846
Saúdská Arábie,2019-03-19,18.5
Malta,2019-03-19,2.695
Vietnam,2019-03-19,13.528333333333
Nový Zéland,2019-03-19,4.948285714285
Ázerbájdžán,2019-03-19,17.54
Francie,2019-03-19,3.761333333333
Rumunsko,2019-03-19,1.8342
Korejská republika,2019-03-19,6.681416666666
Švédsko,2019-03-19,1.8316
Maroko,2019-03-19,0.615
Rakousko,2019-03-19,2.764066666666
Moldavsko,2019-03-19,0.816333333333
Keňa,2019-03-19,5.36075
Hong Kong,2019-03-19,6.395
Kuba,2019-03-19,1.49
Estonsko,2019-03-19,3.3855
Srí Lanka,2019-03-19,1.592
Egypt,2019-03-19,0.033
Niue,2019-03-19,3.1715
Kapverdy,2019-03-19,2.765
Mali,2019-03-19,23.75
Brunej,2019-03-19,2.845
Mauricius,2019-03-19,3.39
Martinik,2019-03-19,3.686
Německo,2019-03-20,3.347228346456
Thajsko,2019-03-20,7.025571428571
Kanada,2019-03-20,3.611130434782
Lotyšsko,2019-03-20,1.17
Spojené státy americké,2019-03-20,3.521813084112
Japonsko,2019-03-20,2.606583333333
Rusko,2019-03-20,5.900487804878
Indie,2019-03-20,3.285
Irsko,2019-03-20,6.431666666666
Mexiko,2019-03-20,3.52625
Finsko,2019-03-20,5.359
Norsko,2019-03-20,3.837
Švýcarsko,2019-03-20,4.870818181818
Maďarsko,2019-03-20,5.119
Slovensko,2019-03-20,3.237986111111
Austrálie,2019-03-20,3.236818181818
Spojené arabské emiráty,2019-03-20,1.0
Chorvatsko,2019-03-20,3.420875
Itálie,2019-03-20,5.708944444444
Bulharsko,2019-03-20,3.115
Kypr,2019-03-20,9.4275
Lucembursko,2019-03-20,2.934
Velká Británie a Severní Irsko,2019-03-20,2.249105263157
Brazílie,2019-03-20,3.66
Kazachstán,2019-03-20,0.095
Malajsie,2019-03-20,6.275
Turecko (včetně Severokyperské Republiky),2019-03-20,2.864
Bělorusko,2019-03-20,1.3155
Řecko,2019-03-20,2.122
Slovinsko,2019-03-20,10.364
Island,2019-03-20,9.443333333333
Ukrajina,2019-03-20,5.44496
Litva,2019-03-20,1.21775
Polsko,2019-03-20,2.05447368421
Španělsko,2019-03-20,5.726333333333
Černá Hora,2019-03-20,0.111
Belgie,2019-03-20,2.183222222222
Omán,2019-03-20,16.55
Peru,2019-03-20,10.11
Česká republika,2019-03-20,2.9325
Nizozemsko,2019-03-20,4.074125
Izrael,2019-03-20,8.228333333333
Taiwan,2019-03-20,2.39
Bosna a Hercegovina,2019-03-20,23.42
Čína,2019-03-20,5.960393442622
Vietnam,2019-03-20,5.825777777777
Nový Zéland,2019-03-20,1.9445
Ázerbájdžán,2019-03-20,14.675
Francie,2019-03-20,2.551153846153
Rumunsko,2019-03-20,3.729333333333
Indonésie,2019-03-20,7.39
Korejská republika,2019-03-20,5.5171
Švédsko,2019-03-20,1.1078
Mongolsko,2019-03-20,6.647
Argentina,2019-03-20,3.756
Rakousko,2019-03-20,3.16085
Hong Kong,2019-03-20,0.603666666666
Chile,2019-03-20,0.19
Kuba,2019-03-20,3.4
Estonsko,2019-03-20,6.3
Niue,2019-03-20,2.256
Kapverdy,2019-03-20,6.365
Katar,2019-03-20,1.185
Paraguay,2019-03-20,4.176
Německo,2019-03-21,3.15139047619
Thajsko,2019-03-21,14.943
Kanada,2019-03-21,4.396066666666
Portugalsko,2019-03-21,3.9155
Lotyšsko,2019-03-21,1.915
Spojené státy americké,2019-03-21,4.758819148936
Japonsko,2019-03-21,6.216933333333
Rusko,2019-03-21,4.381644230769
Indie,2019-03-21,1.4705
Irsko,2019-03-21,2.57625
Mexiko,2019-03-21,4.005
Finsko,2019-03-21,2.40275
Norsko,2019-03-21,4.359428571428
Švýcarsko,2019-03-21,2.787666666666
Maďarsko,2019-03-21,3.7625
Slovensko,2019-03-21,3.128247833622
Austrálie,2019-03-21,2.6062
Spojené arabské emiráty,2019-03-21,0.872666666666
Chorvatsko,2019-03-21,3.1602
Itálie,2019-03-21,2.314714285714
Bulharsko,2019-03-21,1.45
Velká Británie a Severní Irsko,2019-03-21,2.82635
Kolumbie,2019-03-21,3.662666666666
Brazílie,2019-03-21,4.437272727272
Kazachstán,2019-03-21,1.634
Srbsko,2019-03-21,4.73
Turecko (včetně Severokyperské Republiky),2019-03-21,7.8902
Bělorusko,2019-03-21,2.185333333333
Řecko,2019-03-21,4.515
Slovinsko,2019-03-21,3.2455
Island,2019-03-21,6.42625
Ukrajina,2019-03-21,5.704666666666
Dánsko,2019-03-21,1.990875
Litva,2019-03-21,1.147
Polsko,2019-03-21,3.390545454545
Španělsko,2019-03-21,4.5009375
Belgie,2019-03-21,2.232333333333
Pákistán,2019-03-21,0.129
Česká republika,2019-03-21,3.15575
Nizozemsko,2019-03-21,2.459066666666
Izrael,2019-03-21,3.82925
Singapur,2019-03-21,2.1175
Taiwan,2019-03-21,0.634
Bosna a Hercegovina,2019-03-21,0.011
Čína,2019-03-21,5.035413793103
Vietnam,2019-03-21,6.801625
Nový Zéland,2019-03-21,0.83325
Ázerbájdžán,2019-03-21,12.805
Francie,2019-03-21,3.8295625
Rumunsko,2019-03-21,0.189
Korejská republika,2019-03-21,2.48625
Švédsko,2019-03-21,1.8876
Maroko,2019-03-21,3.575
Argentina,2019-03-21,0.497
Rakousko,2019-03-21,4.858888888888
Kyrgyzstán,2019-03-21,4.305
Moldavsko,2019-03-21,0.483
Hong Kong,2019-03-21,0.124
Gruzie,2019-03-21,4.82
Chile,2019-03-21,9.976
Egypt,2019-03-21,1.332
Réunion,2019-03-21,5.35
Tunisko,2019-03-21,0.066
Německo,2019-03-22,3.406582608695
Thajsko,2019-03-22,3.7
Kanada,2019-03-22,6.341125
Portugalsko,2019-03-22,6.257
Lotyšsko,2019-03-22,4.4815
Spojené státy americké,2019-03-22,3.680261538461
Japonsko,2019-03-22,4.313375
Rusko,2019-03-22,5.372571428571
Indie,2019-03-22,3.615
Irsko,2019-03-22,5.415
Finsko,2019-03-22,2.674625
Norsko,2019-03-22,3.586166666666
Albánie,2019-03-22,2.38
Švýcarsko,2019-03-22,2.944157894736
Jižní Afrika,2019-03-22,17.885
Maďarsko,2019-03-22,1.726333333333
Slovensko,2019-03-22,4.543985221674
Austrálie,2019-03-22,2.131
Chorvatsko,2019-03-22,1.214666666666
Itálie,2019-03-22,2.349785714285
Bulharsko,2019-03-22,1.163666666666
Kypr,2019-03-22,1.8205
Lucembursko,2019-03-22,1.0655
Velká Británie a Severní Irsko,2019-03-22,2.005666666666
Kolumbie,2019-03-22,10.75
Brazílie,2019-03-22,3.1
Kazachstán,2019-03-22,6.308888888888
Srbsko,2019-03-22,1.78
Malajsie,2019-03-22,0.156
Turecko (včetně Severokyperské Republiky),2019-03-22,3.2675
Bělorusko,2019-03-22,1.881
Řecko,2019-03-22,0.299
Island,2019-03-22,4.595
Ukrajina,2019-03-22,4.610684210526
Dánsko,2019-03-22,4.7516
Filipíny,2019-03-22,0.028
Litva,2019-03-22,3.907
Polsko,2019-03-22,3.325450980392
Španělsko,2019-03-22,1.758
Belgie,2019-03-22,0.6744
Pákistán,2019-03-22,1.0655
Arménie,2019-03-22,0.0815
Česká republika,2019-03-22,3.489
Nizozemsko,2019-03-22,4.5715
Izrael,2019-03-22,3.888714285714
Singapur,2019-03-22,1.0
Taiwan,2019-03-22,3.3155
Čína,2019-03-22,6.362018867924
Vietnam,2019-03-22,9.316666666666
Nový Zéland,2019-03-22,6.666666666666
Francie,2019-03-22,6.25294117647
Rumunsko,2019-03-22,1.524666666666
Indonésie,2019-03-22,0.011
Korejská republika,2019-03-22,4.70775
Švédsko,2019-03-22,0.3875
Rakousko,2019-03-22,3.187523809523
Moldavsko,2019-03-22,0.4625
Keňa,2019-03-22,11.39
Nigérie,2019-03-22,6.8
Hong Kong,2019-03-22,0.389
Bangladéš,2019-03-22,1.775
Gruzie,2019-03-22,0.201
Estonsko,2019-03-22,0.636
Srí Lanka,2019-03-22,8.0
Réunion,2019-03-22,7.615
Tunisko,2019-03-22,14.4048
Katar,2019-03-22,2.615
Mauricius,2019-03-22,6.605
Monako,2019-03-22,2.345
Německo,2019-03-23,4.0155
Thajsko,2019-03-23,0.173
Kanada,2019-03-23,3.58325
Spojené státy americké,2019-03-23,5.5831
Japonsko,2019-03-23,10.735
Rusko,2019-03-23,8.43852173913
Indie,2019-03-23,6.289
Irsko,2019-03-23,0.894
Finsko,2019-03-23,1.32
Švýcarsko,2019-03-23,1.3215
Maďarsko,2019-03-23,1.72
Slovensko,2019-03-23,2.764352941176
Spojené arabské emiráty,2019-03-23,1.29
Itálie,2019-03-23,4.99925
Bulharsko,2019-03-23,10.23
Lucembursko,2019-03-23,28.09
Velká Británie a Severní Irsko,2019-03-23,0.012
Bělorusko,2019-03-23,4.914
Řecko,2019-03-23,4.654
Slovinsko,2019-03-23,3.25
Island,2019-03-23,12.89
Ukrajina,2019-03-23,6.725
Dánsko,2019-03-23,0.707
Polsko,2019-03-23,0.10409090909
Španělsko,2019-03-23,4.775
Belgie,2019-03-23,1.12
Arménie,2019-03-23,6.04
Taiwan,2019-03-23,19.56
Čína,2019-03-23,4.1666
Vietnam,2019-03-23,6.9035
Nový Zéland,2019-03-23,10.9
Francie,2019-03-23,1.04
Rumunsko,2019-03-23,0.443
Indonésie,2019-03-23,7.215
Korejská republika,2019-03-23,6.6975
Argentina,2019-03-23,14.66
Rakousko,2019-03-23,1.351333333333
Kyrgyzstán,2019-03-23,12.82
Bangladéš,2019-03-23,6.0755
Sýrie,2019-03-23,4.568
Kanada,2019-03-24,12.995
Spojené státy americké,2019-03-24,4.853666666666
Rusko,2019-03-24,8.888181818181
Irsko,2019-03-24,0.037
Slovensko,2019-03-24,1.6578125
Lucembursko,2019-03-24,0.02
Kazachstán,2019-03-24,18.93
Turecko (včetně Severokyperské Republiky),2019-03-24,22.07
Ukrajina,2019-03-24,4.66
Litva,2019-03-24,1.072
Polsko,2019-03-24,0.633
Peru,2019-03-24,4.865
Česká republika,2019-03-24,3.375
Nizozemsko,2019-03-24,2.78
Izrael,2019-03-24,3.5
Taiwan,2019-03-24,3.81
Čína,2019-03-24,6.458333333333
Vietnam,2019-03-24,7.5
Nový Zéland,2019-03-24,4.145
Francie,2019-03-24,6.5775
Indonésie,2019-03-24,1.2
Korejská republika,2019-03-24,10.205
Švédsko,2019-03-24,2.25
Maroko,2019-03-24,17.26
Kyrgyzstán,2019-03-24,17.6335
Německo,2019-03-25,4.088696202531
Thajsko,2019-03-25,9.185571428571
Kanada,2019-03-25,5.323896551724
Portugalsko,2019-03-25,2.786666666666
Lotyšsko,2019-03-25,3.056
Spojené státy americké,2019-03-25,3.64174074074
Japonsko,2019-03-25,5.075
Rusko,2019-03-25,6.320531914893
Indie,2019-03-25,2.325333333333
Irsko,2019-03-25,4.201777777777
Mexiko,2019-03-25,5.46525
Finsko,2019-03-25,3.904666666666
Norsko,2019-03-25,4.400555555555
Švýcarsko,2019-03-25,4.471607142857
Jižní Afrika,2019-03-25,16.64
Maďarsko,2019-03-25,6.015111111111
Slovensko,2019-03-25,2.851440518256
Irán,2019-03-25,0.025
Austrálie,2019-03-25,7.034333333333
Spojené arabské emiráty,2019-03-25,1.168333333333
Chorvatsko,2019-03-25,2.9782
Kuvajt,2019-03-25,3.524666666666
Itálie,2019-03-25,4.593785714285
Bulharsko,2019-03-25,3.4775
Kypr,2019-03-25,7.155
Velká Británie a Severní Irsko,2019-03-25,2.587818181818
Brazílie,2019-03-25,1.9046
Kazachstán,2019-03-25,0.1365
Srbsko,2019-03-25,9.178571428571
Turecko (včetně Severokyperské Republiky),2019-03-25,9.3772
Bělorusko,2019-03-25,3.9808
Řecko,2019-03-25,1.807
Slovinsko,2019-03-25,2.2685
Island,2019-03-25,3.42
Ukrajina,2019-03-25,4.814384615384
Dánsko,2019-03-25,3.623625
Filipíny,2019-03-25,2.535
Litva,2019-03-25,1.471857142857
Polsko,2019-03-25,3.684925
Španělsko,2019-03-25,4.7136
Belgie,2019-03-25,2.654166666666
Česká republika,2019-03-25,2.67
Nizozemsko,2019-03-25,6.003666666666
Izrael,2019-03-25,1.701
Singapur,2019-03-25,0.668
Taiwan,2019-03-25,5.252
Bosna a Hercegovina,2019-03-25,1.278
Čína,2019-03-25,6.198774647887
Malta,2019-03-25,2.8
Vietnam,2019-03-25,4.504142857142
Nový Zéland,2019-03-25,4.663833333333
Francie,2019-03-25,4.66236
Rumunsko,2019-03-25,2.7025
Indonésie,2019-03-25,17.6025
Korejská republika,2019-03-25,6.143
Švédsko,2019-03-25,5.47775
Rakousko,2019-03-25,2.195133333333
Alžírsko,2019-03-25,2.17
Hong Kong,2019-03-25,7.20625
Chile,2019-03-25,0.725
Estonsko,2019-03-25,4.625
Egypt,2019-03-25,2.21
Tunisko,2019-03-25,3.41
Portoriko,2019-03-25,0.064
Venezuela,2019-03-25,4.95
Panama,2019-03-25,2.0525
Monako,2019-03-25,9.24
Německo,2019-03-26,2.210252252252
Thajsko,2019-03-26,8.094428571428
Kanada,2019-03-26,3.7474375
Portugalsko,2019-03-26,3.035
Lotyšsko,2019-03-26,2.185333333333
Spojené státy americké,2019-03-26,3.165130434782
Japonsko,2019-03-26,4.933272727272
Rusko,2019-03-26,4.469473282442
Indie,2019-03-26,2.449333333333
Irsko,2019-03-26,1.4815
Finsko,2019-03-26,2.99175
Norsko,2019-03-26,3.67475
Švýcarsko,2019-03-26,3.4819375
Jižní Afrika,2019-03-26,5.45
Maďarsko,2019-03-26,2.0075
Slovensko,2019-03-26,3.497072222222
Irán,2019-03-26,0.9595
Austrálie,2019-03-26,4.923789473684
Spojené arabské emiráty,2019-03-26,0.461
Chorvatsko,2019-03-26,2.669166666666
Itálie,2019-03-26,1.909529411764
Bulharsko,2019-03-26,1.6678
Kypr,2019-03-26,0.034666666666
Lucembursko,2019-03-26,0.024
Velká Británie a Severní Irsko,2019-03-26,5.74755
Kolumbie,2019-03-26,0.456
Brazílie,2019-03-26,3.940818181818
Kazachstán,2019-03-26,2.5336
Srbsko,2019-03-26,11.223
Malajsie,2019-03-26,5.35
Turecko (včetně Severokyperské Republiky),2019-03-26,2.977285714285
Bělorusko,2019-03-26,1.895
Řecko,2019-03-26,2.348
Slovinsko,2019-03-26,2.896
Island,2019-03-26,2.09175
Ukrajina,2019-03-26,3.192785714285
Filipíny,2019-03-26,19.51
Litva,2019-03-26,0.102
Polsko,2019-03-26,3.3546
Španělsko,2019-03-26,3.100866666666
Belgie,2019-03-26,5.8825
Peru,2019-03-26,5.84
Arménie,2019-03-26,14.4425
Česká republika,2019-03-26,3.726
Nizozemsko,2019-03-26,3.151823529411
Izrael,2019-03-26,5.914
Makedonie,2019-03-26,1.5545
Ekvádor,2019-03-26,2.87
Singapur,2019-03-26,2.148333333333
Taiwan,2019-03-26,2.6004
Bosna a Hercegovina,2019-03-26,15.45
Čína,2019-03-26,5.751342105263
Vietnam,2019-03-26,7.953714285714
Man,2019-03-26,0.031
Nový Zéland,2019-03-26,4.779
Ázerbájdžán,2019-03-26,10.5755
Francie,2019-03-26,3.670421052631
Indonésie,2019-03-26,9.64
Korejská republika,2019-03-26,2.107555555555
Švédsko,2019-03-26,3.65325
Maroko,2019-03-26,4.6
Rakousko,2019-03-26,2.746533333333
Moldavsko,2019-03-26,5.14
Keňa,2019-03-26,10.6075
Hong Kong,2019-03-26,11.036
Chile,2019-03-26,8.0
Estonsko,2019-03-26,2.596
Libanon,2019-03-26,0.022
Srí Lanka,2019-03-26,2.034
Guernsey,2019-03-26,8.72
Niue,2019-03-26,5.7
Tunisko,2019-03-26,11.69
Gibraltar,2019-03-26,3.822
Venezuela,2019-03-26,4.59
Guatemala,2019-03-26,2.33
Německo,2019-03-27,3.38117094017
Thajsko,2019-03-27,3.387
Kanada,2019-03-27,3.319615384615
Portugalsko,2019-03-27,0.83
Spojené státy americké,2019-03-27,4.165978021978
Japonsko,2019-03-27,5.0544
Rusko,2019-03-27,4.300152380952
Indie,2019-03-27,5.692
Irsko,2019-03-27,0.04
Mexiko,2019-03-27,0.117
Finsko,2019-03-27,3.206
Norsko,2019-03-27,5.421571428571
Albánie,2019-03-27,0.238
Švýcarsko,2019-03-27,4.239
Jižní Afrika,2019-03-27,2.94
Maďarsko,2019-03-27,8.581928571428
Slovensko,2019-03-27,3.19129059829
Austrálie,2019-03-27,3.6714
Chorvatsko,2019-03-27,5.67
Itálie,2019-03-27,2.044388888888
Bulharsko,2019-03-27,8.4025
Kypr,2019-03-27,0.02
Velká Británie a Severní Irsko,2019-03-27,2.713227272727
Brazílie,2019-03-27,2.027666666666
Kazachstán,2019-03-27,5.22
Srbsko,2019-03-27,1.871
Turecko (včetně Severokyperské Republiky),2019-03-27,1.365666666666
Bělorusko,2019-03-27,2.0285
Řecko,2019-03-27,4.794
Slovinsko,2019-03-27,10.026
Island,2019-03-27,6.062666666666
Ukrajina,2019-03-27,4.2537
Dánsko,2019-03-27,4.831444444444
Litva,2019-03-27,1.2235
Polsko,2019-03-27,2.85675
Španělsko,2019-03-27,3.3783
Belgie,2019-03-27,2.12775
Peru,2019-03-27,7.865
Česká republika,2019-03-27,1.8125
Nizozemsko,2019-03-27,7.253857142857
Izrael,2019-03-27,2.8335
Makedonie,2019-03-27,0.208
Taiwan,2019-03-27,5.0785
Čína,2019-03-27,5.28331707317
Malta,2019-03-27,8.117
Vietnam,2019-03-27,7.262428571428
Ázerbájdžán,2019-03-27,11.685
Francie,2019-03-27,4.588647058823
Rumunsko,2019-03-27,2.8625
Indonésie,2019-03-27,13.86
Korejská republika,2019-03-27,6.745
Švédsko,2019-03-27,1.871071428571
Mongolsko,2019-03-27,1.541
Rakousko,2019-03-27,2.686571428571
Hong Kong,2019-03-27,1.47075
Kuba,2019-03-27,3.338
Estonsko,2019-03-27,0.893
Srí Lanka,2019-03-27,2.95
Katar,2019-03-27,5.25
Mali,2019-03-27,2.295
Německo,2019-03-28,2.905094736842
Thajsko,2019-03-28,5.72775
Kanada,2019-03-28,4.444461538461
Portugalsko,2019-03-28,3.28
Lotyšsko,2019-03-28,2.1305
Spojené státy americké,2019-03-28,4.412473118279
Japonsko,2019-03-28,2.088416666666
Rusko,2019-03-28,6.13729
Indie,2019-03-28,2.015666666666
Irsko,2019-03-28,3.1202
Mexiko,2019-03-28,14.0
Finsko,2019-03-28,3.566666666666
Norsko,2019-03-28,4.332222222222
Švýcarsko,2019-03-28,2.82923076923
Maďarsko,2019-03-28,3.447142857142
Slovensko,2019-03-28,3.226143100511
Irán,2019-03-28,0.034
Austrálie,2019-03-28,4.00968
Uzbekistán,2019-03-28,1.589
Chorvatsko,2019-03-28,9.486
Itálie,2019-03-28,2.233333333333
Bulharsko,2019-03-28,1.0745
Kypr,2019-03-28,9.205
Botswana,2019-03-28,11.85
Velká Británie a Severní Irsko,2019-03-28,2.648842105263
Brazílie,2019-03-28,4.191666666666
Kazachstán,2019-03-28,9.237428571428
Uganda,2019-03-28,21.3
Srbsko,2019-03-28,0.969333333333
Malajsie,2019-03-28,3.73
Turecko (včetně Severokyperské Republiky),2019-03-28,18.835
Bělorusko,2019-03-28,2.0735
Řecko,2019-03-28,2.361
Slovinsko,2019-03-28,2.22925
Island,2019-03-28,5.173333333333
Ukrajina,2019-03-28,3.8924375
Dánsko,2019-03-28,1.870833333333
Litva,2019-03-28,7.05
Polsko,2019-03-28,4.039510638297
Španělsko,2019-03-28,2.683692307692
Belgie,2019-03-28,4.352444444444
Arménie,2019-03-28,19.86
Česká republika,2019-03-28,3.943375
Nizozemsko,2019-03-28,2.520571428571
Izrael,2019-03-28,2.947
Singapur,2019-03-28,1.0
Taiwan,2019-03-28,8.248333333333
Bosna a Hercegovina,2019-03-28,1.2
Čína,2019-03-28,6.312888888888
Saúdská Arábie,2019-03-28,2.2
Malta,2019-03-28,0.049
Vietnam,2019-03-28,2.486
Nový Zéland,2019-03-28,2.622
Francie,2019-03-28,3.0565625
Rumunsko,2019-03-28,4.809272727272
Korejská republika,2019-03-28,5.3205
Švédsko,2019-03-28,2.9532
Mongolsko,2019-03-28,1.5785
Maroko,2019-03-28,5.615
Rakousko,2019-03-28,4.59778125
Moldavsko,2019-03-28,5.185
Hong Kong,2019-03-28,1.310666666666
Gruzie,2019-03-28,2.19
Chile,2019-03-28,0.515
Kuba,2019-03-28,4.355
Estonsko,2019-03-28,3.198
Srí Lanka,2019-03-28,0.045
Jordánsko,2019-03-28,6.455
Tunisko,2019-03-28,0.6
Mali,2019-03-28,3.072
Brunej,2019-03-28,1.2
Německo,2019-03-29,3.58787755102
Thajsko,2019-03-29,5.061333333333
Kanada,2019-03-29,7.008
Portugalsko,2019-03-29,5.448
Lotyšsko,2019-03-29,2.412333333333
Spojené státy americké,2019-03-29,4.563960396039
Japonsko,2019-03-29,2.731
Rusko,2019-03-29,5.629837209302
Indie,2019-03-29,10.693333333333
Irsko,2019-03-29,0.6375
Mexiko,2019-03-29,3.815
Finsko,2019-03-29,2.008333333333
Norsko,2019-03-29,4.238857142857
Albánie,2019-03-29,2.421
Švýcarsko,2019-03-29,3.8076
Maďarsko,2019-03-29,1.850857142857
Slovensko,2019-03-29,3.8052
Irán,2019-03-29,0.529
Austrálie,2019-03-29,5.249933333333
Chorvatsko,2019-03-29,5.789
Itálie,2019-03-29,1.848692307692
Bulharsko,2019-03-29,1.65025
Kypr,2019-03-29,4.3
Velká Británie a Severní Irsko,2019-03-29,2.060583333333
Kolumbie,2019-03-29,0.408
Brazílie,2019-03-29,4.164666666666
Kazachstán,2019-03-29,11.605
Srbsko,2019-03-29,23.74
